iter	MAE	RMSE
0	0.6474047242	0.7974034074
5	0.5969259335	0.7379974162
10	0.5605698028	0.6959758704
15	0.5345847413	0.6664799174
20	0.5160518615	0.6454714803
25	0.5014828693	0.6291154077
30	0.4901091155	0.6167381027
35	0.4813153927	0.6073047005
40	0.4743743716	0.5997685548
45	0.4683787848	0.5934458791
50	0.4632805918	0.5880428738
55	0.4585003737	0.5830855959
60	0.4550386858	0.5793895372
65	0.4517796147	0.5758431357
70	0.4490551022	0.5729837092
75	0.4466384976	0.570551303
80	0.4445644829	0.5683306524
85	0.4425980824	0.5661873191
90	0.4408124496	0.5643018642
95	0.4393487467	0.5627055355
100	0.4380790315	0.5613596618
105	0.4368423114	0.560104776
110	0.4358484493	0.5590619651
115	0.4348188264	0.5579116255
120	0.4340545745	0.5570987093
125	0.4333445585	0.5563205748
130	0.4325633251	0.5554466526
135	0.4318536685	0.5546745524
140	0.4312838192	0.5540025532
145	0.4307215204	0.5533253643
150	0.4302242989	0.5527717435
155	0.4296336791	0.5521016863
160	0.4291000884	0.5515027832
165	0.428671844	0.5510285726
170	0.4282314582	0.5505668639
175	0.4278151617	0.5501130632
180	0.4274373918	0.5496931275
185	0.4270392109	0.5492585201
190	0.4266323732	0.54877917
195	0.4261427851	0.5482652002
200	0.4258528822	0.5478985697
205	0.4255677363	0.5475871285
210	0.4253471423	0.5473095956
215	0.4249875708	0.5468872291
220	0.4246874071	0.5465653949
225	0.4244068523	0.5461942815
230	0.4241318289	0.5458729001
235	0.423839741	0.5455622796
240	0.4236188982	0.5453053735
245	0.423382263	0.5450606766
250	0.4231554738	0.5448002595
255	0.4228646582	0.5444402111
260	0.4226281337	0.5441586336
265	0.4224124627	0.5439073952
270	0.42223695	0.5437028161
275	0.421985297	0.5434168613
280	0.4217801081	0.5431792059
285	0.4216097949	0.5429848453
290	0.4214705132	0.5428200438
295	0.4212664859	0.5425925
299	0.4210872118	0.5423981076
