iter	Passed	Remaining
0	111	33470
1	206	30813
2	313	31085
3	414	30682
4	479	28305
5	601	29450
6	670	28071
7	755	27585
8	827	26741
9	920	26688
10	986	25912
11	1068	25648
12	1153	25470
13	1258	25717
14	1338	25432
15	1450	25738
16	1514	25207
17	1574	24672
18	1673	24746
19	1773	24833
20	1873	24890
21	1959	24764
22	2068	24909
23	2174	25011
24	2260	24867
25	2374	25024
26	2459	24871
27	2523	24518
28	2630	24583
29	2724	24521
30	2820	24476
31	2934	24578
32	3028	24505
33	3130	24493
34	3225	24423
35	3327	24401
36	3434	24413
37	3522	24284
38	3615	24198
39	3703	24075
40	3786	23919
41	3882	23850
42	3956	23644
43	4059	23619
44	4163	23594
45	4268	23571
46	4368	23517
47	4471	23475
48	4551	23314
49	4645	23229
50	4737	23129
51	4843	23098
52	4925	22956
53	5021	22877
54	5118	22802
55	5222	22756
56	5323	22694
57	5434	22675
58	5534	22608
59	5632	22528
60	5727	22439
61	5811	22310
62	5923	22283
63	6035	22257
64	6150	22236
65	6252	22168
66	6353	22094
67	6462	22050
68	6567	21987
69	6668	21911
70	6775	21854
71	6905	21867
72	6999	21766
73	7098	21677
74	7203	21609
75	7284	21471
76	7387	21395
77	7474	21272
78	7573	21186
79	7664	21078
80	7779	21032
81	7882	20956
82	7990	20889
83	8091	20806
84	8198	20736
85	8290	20630
86	8400	20567
87	8493	20461
88	8582	20346
89	8701	20303
90	8798	20207
91	8902	20128
92	9005	20045
93	9101	19945
94	9204	19862
95	9306	19776
96	9392	19655
97	9483	19548
98	9588	19467
99	9685	19371
100	9787	19283
101	9883	19185
102	9987	19102
103	10098	19032
104	10193	18930
105	10289	18832
106	10392	18744
107	10495	18658
108	10601	18576
109	10698	18478
110	10786	18365
111	10888	18277
112	10970	18153
113	11051	18030
114	11149	17936
115	11232	17817
116	11299	17673
117	11364	17528
118	11450	17416
119	11552	17328
120	11665	17257
121	11771	17174
122	11870	17081
123	11943	16952
124	12049	16869
125	12149	16778
126	12263	16705
127	12370	16622
128	12482	16546
129	12567	16434
130	12694	16376
131	12801	16292
132	12913	16214
133	13011	16118
134	13112	16026
135	13221	15943
136	13317	15844
137	13421	15755
138	13499	15636
139	13603	15546
140	13701	15450
141	13804	15359
142	13903	15264
143	13970	15134
144	14072	15043
145	14170	14946
146	14243	14824
147	14346	14733
148	14446	14640
149	14553	14553
150	14654	14460
151	14764	14375
152	14864	14281
153	14952	14175
154	15062	14090
155	15158	13992
156	15234	13876
157	15332	13779
158	15431	13684
159	15521	13581
160	15616	13482
161	15728	13398
162	15823	13299
163	15892	13179
164	15995	13087
165	16066	12969
166	16173	12880
167	16270	12783
168	16350	12674
169	16430	12564
170	16539	12476
171	16641	12384
172	16745	12292
173	16811	12173
174	16881	12057
175	16953	11944
176	17024	11830
177	17127	11739
178	17228	11645
179	17314	11543
180	17412	11448
181	17491	11340
182	17574	11236
183	17652	11128
184	17767	11044
185	17879	10958
186	17971	10859
187	18037	10745
188	18147	10658
189	18230	10554
190	18336	10464
191	18430	10367
192	18535	10276
193	18630	10179
194	18731	10086
195	18796	9973
196	18898	9880
197	18985	9780
198	19078	9683
199	19185	9592
200	19276	9494
201	19396	9410
202	19464	9300
203	19553	9201
204	19617	9091
205	19706	8992
206	19812	8901
207	19881	8793
208	19981	8700
209	20065	8599
210	20145	8497
211	20252	8406
212	20351	8312
213	20448	8217
214	20544	8122
215	20627	8021
216	20719	7924
217	20802	7824
218	20867	7718
219	20955	7620
220	21062	7529
221	21162	7435
222	21262	7341
223	21344	7241
224	21412	7137
225	21514	7044
226	21612	6950
227	21715	6857
228	21829	6768
229	21912	6668
230	22023	6578
231	22090	6474
232	22208	6386
233	22272	6281
234	22373	6188
235	22458	6090
236	22572	6000
237	22680	5908
238	22778	5813
239	22878	5719
240	22958	5620
241	23032	5520
242	23122	5423
243	23195	5323
244	23282	5226
245	23382	5132
246	23482	5038
247	23578	4943
248	23648	4843
249	23745	4749
250	23830	4652
251	23933	4558
252	24040	4466
253	24153	4374
254	24256	4280
255	24373	4189
256	24465	4093
257	24568	3999
258	24665	3904
259	24763	3809
260	24851	3713
261	24951	3618
262	25029	3521
263	25116	3425
264	25198	3328
265	25265	3229
266	25378	3136
267	25450	3038
268	25549	2944
269	25658	2850
270	25727	2753
271	25827	2658
272	25891	2560
273	25989	2466
274	26055	2368
275	26156	2274
276	26253	2179
277	26329	2083
278	26426	1989
279	26498	1892
280	26607	1799
281	26675	1702
282	26781	1608
283	26892	1515
284	26981	1420
285	27085	1325
286	27169	1230
287	27264	1136
288	27348	1040
289	27431	945
290	27523	851
291	27591	755
292	27711	662
293	27832	568
294	27901	472
295	27985	378
296	28086	283
297	28203	189
298	28329	94
299	28436	0
